Model,Share,Battery_Size,Max_Charge_P
Seat Leon eHybrid,1,13,3.7
Seat Mii Electric,1,32.3,34
Skoda Enyaq iV,1,77,125
Skoda Enyaq iV,1,77,50
Skoda Enyaq iV,1,58,50
Skoda Enyaq iV,1,58,100
Skoda Octavia,1,13,3.6
Skoda CITIGOe iV,1,32.3,34
Skoda Superb iV,1,13,3.6
Skoda Enyaq iV,1,52,50
Tesla Roadster,1,200,250
Tesla Model S,1,67,100
Tesla Model S,1,67,100
Tesla Model 3,1,74,195
Tesla Model 3,1,50,149
Tesla Model 3,1,72.5,195
Tesla Model S,1,76,140
Tesla Model S,1,95,140
Tesla Model S,1,81,140
Tesla Model S,1,72.5,120
Tesla Model S,1,77.5,197
Tesla Model S,1,82,197
Tesla Model S,1,72.5,197
Tesla Model S,1,98,197
Tesla Model S,1,83.5,120
Tesla Model S,1,80.8,120
Tesla Model S,1,98,197
Tesla Model S,1,72.5,120
Tesla Model S,1,95,197
Tesla Model S,1,62,120
Tesla Model S,1,80.8,120
Tesla Model S,1,72.5,197
Tesla Model S,1,95,197
Tesla Model S,1,62,120
Tesla Model S,1,66.5,120
Tesla Model S,1,66.5,120
Tesla Model X,1,90,140
Tesla Model X,1,90,140
Tesla Model X,1,100,140
Tesla Model X,1,100,140
Tesla Model X,1,100,140
Tesla Model X,1,100,140
Tesla Model X,1,75,140
Tesla Model X,1,60,140
Tesla Model X,1,95,148
Tesla Model X,1,95,148
Tesla Model X,1,75,140
Tesla Model X,1,72.5,148
Tesla Model Y,1,72.5,246
Tesla Model Y,1,72.5,246
Volkswagen Golf GTE,1,13,3.7
Volkswagen ID.4,1,77,125
Volkswagen ID.3,1,77,125
Volkswagen ID.3,1,45,50
Volkswagen ID.3,1,58,100
Volkswagen e-Golf,1,21.2,44
Volkswagen e-Golf,1,31.5,40
Volkswagen e-Golf,1,31.5,7.2
Volkswagen e-Golf,1,21.2,3.6
Volkswagen e-Golf,1,31.5,40
Volkswagen e-up,1,16.5,44
Volkswagen e-up,1,16.5,3.6
Volkswagen e-up,1,32.3,7.2
Volkswagen Golf GTE,1,8.7,3.7
Volkswagen Passat GTE,1,13.1,3.7
Volkswagen e-up,1,32.3,34
Volvo XC40 PHEV,1,10.7,3.7
Volvo XC 60 T8,1,10.4,3.7
Volvo XC40,1,75,148
Zero Motorcycles S,1,12.6,7.3
Zero Motorcycles SR/S,1,15.8,3.7
Zero Motorcycles S,1,6.3,1.3
Zero Motorcycles S,1,6.3,7.3
Zero Motorcycles S,1,12.6,3.7
Zero Motorcycles SR,1,12.6,7.3
Zero Motorcycles S,1,15.8,3.7
Zero Motorcycles SR,1,12.6,3.7
Zero Motorcycles SR/S,1,12.6,9.7
